Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,,260,6.6444,5,1142,9.19
ZG3rX5DZtjQ,Zucchini Brownie Nourish Chicago,"Sep 4, 2025",327,83,2.1058,2,64,12.5
Bt7IlJatPl8,Reverse Spherification: Milk-Boba,"Feb 7, 2025",377,71,2.245,0,423,12.29
rVTD_cfKFuI,The Science of Jell O Nourish Chicago,"Dec 20, 2024",252,46,1.0537,0,80,20
FJWEN3TrQ6I,The Science of Fermentation and Pickling Nourish Chicago,"Feb 7, 2025",489,26,0.4767,0,156,7.05
01bCQojMnMM,Canned Chicken and Tuna Nourish Chicago,"Apr 6, 2025",267,11,0.3237,0,89,3.37
yXhy3kAHRzI,Direct Spherification Nourish Chicago,"Apr 17, 2025",218,9,0.1818,0,96,8.33
ruwhGgoiIBA,The Science of Sugar Nourish Chicago,"Apr 23, 2025",303,6,0.1015,0,67,1.49
pN7UXe3D98Q,Dental Health Nourish Chicago,"Apr 6, 2025",276,5,0.0821,0,89,4.49
mvcROtHHPa8,Power Burrito Nourish Chicago,"Apr 17, 2025",301,3,0.0741,1,78,2.56
